Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
"Lenovo ThinkPad E16 16"" WUXGA i7-1355U 16GB 512GB SSD W11 Pro",$589.99 ,16 GB,Intel Core i7 13th Gen.,Lenovo ThinkPad E16 Gen 1,Lenovo,Intel Iris Xe Graphics,16 in,512 GB,1/29/2025 22:23
"LENOVO ThinkPad T460 14 inches HD, Core i5-6300U 2.4GHz, 16GB RAM, 512GB Solid S",$214.00 ,N/A,Does Not Apply,N/A,Does Not Apply,N/A,Does Not Apply,N/A,1/29/2025 22:23
"Windows 10 Laptop 10.1"" Quad Core Computer Mini Netbook WiFi Webcam (pink)",$99.96 ,N/A,Intel Celeron N,N/A,Unbranded,N/A,10.1 in,N/A,1/29/2025 22:22
Lenovo IdeaPad Slim 1 -14AST -05 AMD 14 inch used laptop for parts/repair,$48.95 ,N/A,AMD A9,Lenovo Slim 1 -14,Lenovo,N/A,14 in,N/A,1/29/2025 22:23
"HP 15t-fd 15.6"" 1366x768 Intel i7-1355U 32GB 1TB SSD Windows 11 Home",$619.99 ,32 GB,Intel Core i7 13th Gen.,15t-fd,HP,Intel UHD Graphics,15.6 in,1 TB,1/29/2025 22:23
"HP ZBook Firefly 14 G11 14"" Intel Ultra 7 165H 1.40GHz 32GB RAM 1TB SSD Laptop",$989.95 ,32 GB,Intel Ultra 7 165H,HP ZBook Firefly 14 G11,HP,N/A,14 in,1 TB,1/29/2025 22:22
"2024 HP Laptop 17.3"" FHD 6-Core AMD Ryzen 5 Up to 64GB RAM 2TB SSD Win 11 Pro",$539.00 ,Up to 64 GB,AMD Ryzen 5 5500U,HP 17 Flagship,HP,AMD Radeon Graphics,17.3 in,Up to 2 TB,1/29/2025 22:23
"NEW Lenovo ThinkPad P14s Gen 4 14""  RTXA500 i7-1360P 32GB 1TB FPR Backlit Win11P",$999.00 ,32 GB,Intel Core i7 13th Gen.,ThinkPad P14s Gen 4,Lenovo,NVIDIA RTX™ A500 4GB GDDR6,14 in,1 TB,1/29/2025 22:23
"Lenovo Chromebook Flex 3 Convertible Laptop Tablet 11.6"" Touchscreen 4GB 32GB",$133.65 ,4 GB,MediaTek MT8173C,Lenovo FLEX 3,Lenovo,On board,11.6 in,32 GB,1/29/2025 22:23
Lenovo ThinkPad T470 14' LCD i5 Laptop PC 32GB RAM 1tb SSD Win 11 pro Cam Wifi,$299.99 ,32 GB,Intel Core i5 6th Gen.,Lenovo ThinkPad T470,Lenovo,Intel HD Graphics,14,1 TB,1/29/2025 22:23
"Brand New Acer CB514-4HT-359X 14"" TS Chromebook -- i3-N305/ 8GB/ 512GB",US $299.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
Lenovo T14 Gen 3 Touch WUXGA  IPS I7 1265u 10 core  16 256 win 11  warranty 2026,$438.95 ,16 GB,Intel Core i7 12th Gen.,T14 GEN 3,Lenovo,Intel Iris Xe Graphics,14 in,256 GB,1/29/2025 22:22
Lenovo THinkPad T14 Gen 4 Ryzen 7 7840U 16GB LPDDR5 512GB SSD ~ 3 Years Warranty,$687.55 ,16 GB,AMD Ryzen 7 PRO 7000 Series,Lenovo ThinkPad T14,Lenovo,AMD Radeon,14 in,512 GB,1/29/2025 22:22
Microsoft Surface,"$1,100.00 ",16 GB,Intel Mobile Celeron,Microsoft Surface Laptop,Microsoft,N/A,13.7 in,N/A,1/29/2025 22:22
Lenovo ThinkBook 13s G2 ITL 13.3-inch 2.5K TOUCH I7-1165G7 16GB 512Gb Win 11 Pro,$369.00 ,16 GB,Intel Core i7 11th Gen.,Thinkbook 13s G2 ITL,Lenovo,Intel Iris Xe Graphics,13.3 in,512 GB,1/29/2025 22:23
"Lenovo ThinkPad L13 Yoga Gen 2 2-in-1 i5-1145G7 16GB 1TB SSD 13.3"" FHD Touch W11",$313.99 ,16 GB,Intel Core i5 11th Gen.,Lenovo ThinkPad L13 Yoga Gen 2,Lenovo,Intel Iris Xe Graphics,13.3 in,1 TB,1/29/2025 22:23
Alienware Laptop M18 R2 i9-14900HX 5.80GHZ 64GB 16GB 4090 RTX 2000GB Win 11 PRO,"$3,795.10 ",64 GB,intel core I9 14Th Gen,Alienware 18,Alienware,NVIDIA GeForce RTX 4090,18 in,2 TB,1/29/2025 22:23
