Category,Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Laptops,"Apple MacBook Pro 13'' Space Gray 2017 2.5GHz Core i7 16GB RAM 512GB SSD, Good",US $319.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:16:10
Laptops,Apple MacBook Pro 2016 A1706 3.30GHz Dual i7-6567U 500GB SSD 16GB RAM #168629,$260.00,16 GB,Intel Core i7 6th Gen.,MacBook Pro,APPLE,N/A,13 in,500 GB,2025-01-28 17:16:24
Laptops,"Apple Macbook Pro 17"" 2011 C-i7 2.4Ghz 16GB RAM 750GB HDD A1297 Cond 9+MATTE",$319.99,16 GB,N/A,N/A,Apple,N/A,17 in,N/A,2025-01-28 17:14:52
Laptops,"Apple MacBook Pro Core 2 Duo 2.0GHz 2GB RAM 160GB HD 13"" MB446LL/A (2008) Good",$64.97,2 GB,Core 2 Duo,Apple MacBook Pro,Apple,N/A,13 in,N/A,2025-01-28 17:14:29
Laptops,"Great condition 13"" Macbook Air 2017 Laptop w/ APPLECARE+EXTRAS!!!!!",$229.00,8 GB,Intel Core i5 5th Gen.,MacBook Air,Apple,N/A,13 in,128 GB,2025-01-28 17:16:00
Laptops,"Apple 12"" MacBook (Intel Core M, 8GB RAM, 256GB)",$359.99,8 GB,Intel Core M,MacBook,Apple,N/A,12 in,256 GB,2025-01-28 17:17:34
Laptops,"Grade A - MacBook Pro 15"" ""Core i7"" 2.7GHz/ 16GB RAM/ NEW 1TB SSD/ Matte Screen",$799.99,16 GB,Intel Core i7 3rd Gen,MacBook Pro,Apple,N/A,15 in,1 TB,2025-01-28 17:18:30
Laptops,Apple MacBook Pro 13in 16GB RAM 500GB SSD - Intel Core i7 3.5GHz with Touch Bar!,US $375.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:16:46
Laptops,"Apple MacBook Pro 2016 13.3"" Intel Core i5-6360U 256GB SSD 8GB DDR3 A1708",$184.48,8 GB,Intel Core i5-6360U,MacBook Pro,Apple,N/A,13.3 in,256 GB,2025-01-28 17:13:58
Laptops,"Apple MacBook Pro 15"" Core  i7 2.2GHz 8GB RAM 500GB HDD - Mac OS X /Very Good!",US $285.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:17:33
Laptops,"Apple MacBook Air 13"" 2013 Core i7 1.7GHz 4GB Ram 128GB SSD [L1000]",$99.00,4 GB,Intel Core i7 4th Gen.,MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:15:53
Laptops,MacBook Pro 13 Space Gray 2022 M2 8-Core CPU/10-Core GPU 8GB 256GB - Very Good,$589.99,8 GB,Apple M2,MacBook Pro,Apple,N/A,13 in,256 GB,2025-01-28 17:17:26
Laptops,Apple Macbook Air 13 (2014)  i7- 1.7GHz 8GB 512GBSSD macOS Ventura🍎🍏🍎🍏,$245.00,8 GB,Intel Core i7 5th Gen.,Apple Air 13,Apple,N/A,13 in,512 GB,2025-01-28 17:15:30
Laptops,"Apple MacBook Pro Core i7 3.1GHz 256GB SSD 13"" MF843LL/A (2015) Used-Fair",US $319.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:17:19
Laptops,"Apple MacBook Pro 2019 16"" i7-9750H 16GB RAM 500GB SSD AMD Radeon Pro 5500M 8GB",$489.99,16 GB,Intel Core i7-9750H,MacBook Pro,Apple,N/A,16 in,500 GB,2025-01-28 17:14:14
Laptops,"MacBook Pro 15” 2019 i9 2.3GHz 16GB RAM 512GB Radeon Pro 560X Macbook 15,1",$389.99,16 GB,Intel Core i9 9th Gen.,MacBook Pro,Apple,N/A,15 in,512 GB,2025-01-28 17:15:23
Laptops,"Apple MacBook Pro Retina A1990 15"" Core i9 16GB SSD 512GB Space Gray 2019 Sonoma",$369.00,16 GB,2.3 GHz Core i9 (I9-9880H),MV912LL/A,Apple,N/A,"15""",512GB,2025-01-28 17:16:22
Laptops,"MacBook ""Core 2 Duo"" 2.26 13"" 4GB RAM 320GB HDD ::EL CAPITAN:: (A5)",$49.99,4 GB,Intel Core 2 Duo,A1278,Apple,N/A,13 in,N/A,2025-01-28 17:15:56
Laptops,"MacBook Air 13"" Early 2014 i7 8GB 256GB SSD 1.7GHz OS Big Sur #106",$110.00,8 GB,Intel Core i7 4th Gen.,Air,Apple,N/A,13 in,256 GB,2025-01-28 17:18:22
Laptops,Apple MacBook Pro Core i7 Retina 2.7GHz 16GB RAM 512GB SSD 15 - MLH42LL/A - Good,$399.97,16 GB,Intel Core i7,Apple MacBook Pro,Apple,N/A,15.4 in,512 GB,2025-01-28 17:16:36
Laptops,"Apple MacBook Pro A1708 2017 13.3"" Laptop i5-7360U 16GB RAM 256GB SSD",$170.00,16 GB,Intel Core i5 7th Gen.,A1708,Apple,N/A,13.3 in,256 GB,2025-01-28 17:16:14
Laptops,"Good Apple MacBook Pro 13"" 8GB RAM 128GB SSD i5 1.4 GHz - See Pictures",$299.99,8 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13 in,128 GB,2025-01-28 17:13:54
Laptops,Apple MackBook Air A1466 13.3 inch Laptop,$100.00,4 GB,Intel Core i5 3rd Gen.,MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:15:27
Laptops,"Apple MacBook Pro 13"" 2.4GHz 8GB 512GB SSD Mojave OS X + Warranty / Very Good!",$219.90,8 GB,Intel Core 2 Duo,Apple MacBook Pro,Apple,N/A,13 in,512 GB,2025-01-28 17:17:02
Laptops,"Apple MacBook Pro Core i5 2.5GHz 256GB SSD 13"" MD101LL/A (2012) Used-Fair",US $194.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:16:10
Laptops,"Apple MacBook Pro, i9, 16GB RAM, 1TB SSD, 16"", 2019",US $655.00,16 GB,Intel Core i9 9th Gen.,N/A,Apple,N/A,16 in,1 TB,2025-01-28 17:15:07
Laptops,"Apple MacBook Air Core i5 1.8GHz 128GB SSD 13"" MQD32LL/A (2017) Used-Fair",$219.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:14:46
Laptops,Apple MacBook Air 9.1 i5-1030NG7 16GB RAM 1TB SSD,US $324.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:13:49
Laptops,"Apple MacBook Air (11"" Mid 2013) Core i5 1.30GHz 4GB RAM 128GB SSD macOS Big Sur",$79.00,4 GB,Intel Core i5 3rd Gen.,MacBook Air,Apple,N/A,11.6 in,128 GB,2025-01-28 17:16:18
Laptops,"Apple MacBook Air 2014 13.3"" Intel Core i5-4260U 256GB SSD 8GB RAM Mac OS A1466",$91.77,8 GB,Intel Core i5-4260U,Apple MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-28 17:15:03
