Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
"Boult Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+...",17.475,45,,Unknown,"Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+ Watch Faces, Health Track,IP67",Android and ios,32,1/29/2025 2:23
"Pebble Rio 1.39 inch HD Display, Unique Polygonal Bezel...",19.9875,45,,Unknown,"Rio 1.39 inch HD Display, Unique Polygonal Bezel Less Design, Premium Build",Android and ios,32,1/29/2025 2:23
Samsung Galaxy Gear S SM- Curved Super -,79.95,44,305,Samsung,Samsung Galaxy Gear,Tizen,32,1/29/2025 2:23
Data not available,17.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:24
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",13.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:24
Fastrack Revoltt FR2-1.38''|Advanced Blazing Fast UI|Wo...,21.2375,45,,Fastrack,Revoltt FR2-1.38''|Advanced Blazing Fast UI|Working Crown|AIVoice Assistant|IP68,Android and ios,32,1/29/2025 2:24
Fastrack Revoltt FS1-1.85''|Advanced Blazing Fast UI|Wo...,17.4875,45,,Fastrack,Revoltt FS1-1.85''|Advanced Blazing Fast UI|Working Crown|AIVoice Assistant|IP68,Android and ios,32,1/29/2025 2:24
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...",17.4875,45,,Unknown,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Android and ios,32,1/29/2025 2:24
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...",18.7375,45,,Unknown,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Android and ios,32,1/29/2025 2:24
"ZEPAD DZ09 Smartwatch with Camera, Smartwatch",16.2375,45,,Unknown,"DZ09 Smartwatch with Camera,",Android & IOS,256,1/29/2025 2:24
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....",17.4875,45,,Unknown,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Android and ios,32,1/29/2025 2:24
Apple Watch Series 10 GPS 42mm Jet Black Aluminium with...,586.25,42,,Apple,Watch Series 10 GPS 42mm Jet Black Aluminium with Sport Band,watchOS 11,32,1/29/2025 2:24
"Pebble Celia 1.32"" HD Infinite Display, BT Calling, Wom...",12.475,45,,Unknown,"Celia 1.32"" HD Infinite Display, BT Calling, Women's Health suite, Sleek Dial",Android and ios,32,1/29/2025 2:24
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",21.2375,45,,Unknown,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android and ios,32,1/29/2025 2:24
Data not available,28.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:24
"boAt Wave Call 2 Plus with 1.96''(4.97cm), BT Calling, ...",18.1125,45,,Unknown,"Wave Call 2 Plus with 1.96’’(4.97cm), BT Calling, Bilingual Support, IP68",Android and ios,32,1/29/2025 2:24
"boAt Ultima Prism with 1.96"" AMOLED Display,BT Calling,...",24.9875,45,,Unknown,"Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio",Android and ios,32,1/29/2025 2:24
Titan Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Fu...,49.9875,45,,Unknown,Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Functional Crown|AI Coach|Fashion,Android and ios,32,1/29/2025 2:24
"boAt Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",18.7375,45,,Unknown,"Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Screen, Crest App, QR Code Tray","iOS 9 and Above, Android 6 and Above",32,1/29/2025 2:24
Titan Smart 3-1.96''|Super AMOLED|AOD|Premium Design|BT...,62.4375,45,,Unknown,Smart 3-1.96''|Super AMOLED|AOD|Premium Design|BT Calling|Nitro Fast Charge|IP68,Android and ios,32,1/29/2025 2:24
"boAt Ultima Regal w/ 5.1cm(2.01"") AMOLED Display,Functi...",34.9875,45,,Unknown,"Ultima Regal w/ 5.1cm(2.01"") AMOLED Display,Functional Crown & BT Calling",Android and ios,32,1/29/2025 2:24
boAt Lunar Mirage w/ 3.86 cm(1.52'') HD Display & Advan...,18.7375,45,,Unknown,Lunar Mirage w/ 3.86 cm(1.52'') HD Display & Advanced Bluetooth Calling,Android and ios,32,1/29/2025 2:24
Data not available,13.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:24
Data not available,17.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:25
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",13.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:25
"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...",29.9875,45,,Fastrack,"Optimus Pro with 1.43"" AMOLED Display & AOD(466x466),Functional Crown,BT Calling",Android and ios,32,1/29/2025 2:25
