Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Acer Chromebook 514 CB5142HTK4GW,188.16,8.0,Unknown CPU,CB514-2HT-K4GW,Acer,Mali-G57 MC5,14.0,128.0,2025-01-31 23:53:24
~CLEARANCEHP Book ~ dows 10!,192.95,16.0,Core i5,HP ProBook,HP,Intel HD Graphics,15.6,512.0,2025-01-31 23:54:05
HP inch Pentium N200Drive HDMI,194.33,16.0,Core i5,HP inch Pentium N200Drive HDMI,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:18
HP14HDCeleron N4120 eMMC Cam Office 365,194.37,4.0,Unknown CPU,HP 14,HP,Intel UHD Graphics,14.0,128.0,2025-01-31 23:53:52
Lenovo inkPad L480 14HD 8350U10,194.37,8.0,Core i5,Lenovo ThinkPad L480,Lenovo,Unknown Graphics,14.0,256.0,2025-01-31 23:53:07
17.3Dell PrecisionNvidia Quadro K3000M!,194.99,16.0,Core i7,Dell Precision M6700,Dell,NVIDIA QUADRO K3000M,17.3,512.0,2025-01-31 23:53:15
HP 15DY2223ODHD LEDi315G4 H,195.0,8.0,Core i3,15-DY2223OD,HP,Intel UHD Graphics,15.6,256.0,2025-01-31 23:53:36
HP 15fd0131wm HD i3N305,195.0,8.0,Unknown CPU,HP 15fd0131wm HD i3N305,HP,Intel UHD Graphics,14.0,256.0,2025-01-31 23:52:53
Lenovo IdeaPad Duet 10.3 in,195.99,8.0,Unknown CPU,Ideapad Duet 3 10igl5,Lenovo,Unknown Graphics,10.3,128.0,2025-01-31 23:52:56
Dell Latitude 3310 2in dows,196.05,8.0,Core i5,Dell Latitude 3310 2-in-1,Dell,Intel HD Graphics 520,13.3,256.0,2025-01-31 23:53:01
HP255 G7 6UM18EA (2500UM.2SCH...,196.39,16.0,Core i5,HP255 G7 6UM18EA (2500UM.2SCH...,HP,Unknown Graphics,14.0,512.0,2025-01-31 23:53:44
Dell Latitude 5401 149th (CI),197.95,16.0,Core i5,Dell Latitude 5401,Dell,Intel UHD Graphics 630,14.0,256.0,2025-01-31 23:53:05
Lenovo inkPad T470s 7300U 10,199.0,16.0,Core i5,Lenovo ThinkPad T470S,Lenovo,Intel HD Graphics 620,14.0,512.0,2025-01-31 23:53:38
Lenovo inkPad T440p 4300M 10,199.0,16.0,Core i5,Lenovo ThinkPad T440P,Lenovo,Intel HD Graphics,14.0,512.0,2025-01-31 23:53:59
Lenovo inkPad T540p 4330M 10,199.0,16.0,Core i7,Lenovo inkPad T540p 4330M 10,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:51
Microsoft Surface13.5Touch 8650UW10,199.0,8.0,Core i7,Microsoft Surface Laptop 2,Microsoft,Intel UHD Graphics,13.5,256.0,2025-01-31 23:52:49
Fujitsu 2inTouch Businessdows,199.01,16.0,Core i7,Fujitsu 2inTouch Businessdows,,Unknown Graphics,14.0,512.0,2025-01-31 23:52:59
HP14HD i315G4 Ie,199.95,8.0,Core i3,HP 14,HP,Intel UHD Graphics,14.0,128.0,2025-01-31 23:54:06
14HD Lenovo inkPad ~dows 10 !,199.95,16.0,Core i5,Lenovo ThinkPad T460,Lenovo,Intel HD Graphics,14.0,1000.0,2025-01-31 23:53:28
Lenovo inkPad~ dows 10 !,199.95,16.0,Core i5,Lenovo Thinkpad T540p,Lenovo,Intel HD Graphics,15.6,512.0,2025-01-31 23:53:42
Lenovo inkPad E1465G714inNO POWER FOR PARTS!,199.99,8.0,Core i7,Lenovo ThinkPad E14 2nd Gen,Lenovo,Intel Iris Xe Graphics,14.0,512.0,2025-01-31 23:53:24
~OVERSTOCK SALE14HP EliteBook 10,199.99,16.0,Core i5,~OVERSTOCK SALE14HP EliteBook 10,,Unknown Graphics,14.0,512.0,2025-01-31 23:54:04
HP 14HDN4120eMMC dows + MS Office 365 &Cloud,199.99,4.0,Unknown CPU,HP Stream,HP,Intel UHD Graphics 600,14.0,512.0,2025-01-31 23:53:47
CHUWI Book13 i3 8G+Gdows10Computer Netbook,199.99,16.0,Core i5,CHUWI Book13 i3 8G+Gdows10Computer Netbook,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:42
Dell Latitude 5510 10310U,199.99,16.0,Core i5,Dell Latitude E5570,Dell,Intel HD Graphics,15.6,256.0,2025-01-31 23:52:57
Dell Latitude 5500 8665U10,199.99,8.0,Core i7,Dell 5500,Dell,Intel UHD Graphics,15.6,256.0,2025-01-31 23:53:44
Dell Latitude 72908250U M.Nvme 12.5☆+MSO,201.79,16.0,Core i5,Dell Latitude 7290,Dell,Integrated Intel UHD Graphics 620,12.5,256.0,2025-01-31 23:53:05
Samsung Galaxy Book 360 NP750QFG flip,202.5,16.0,Unknown CPU,Galaxy Book 3 360,Samsung,Intel Iris Xe Graphics,15.6,512.0,2025-01-31 23:52:53
used,206.78,16.0,Unknown CPU,used,,Intel UHD Graphics,14.0,512.0,2025-01-31 23:53:56
