Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
~OVERSTOCK SALE HP Bookdows 10 !,184.95,8.0,Intel Core i5 6th Gen.,HP ProBook 450 G3,HP,Intel HD Graphics,15.6,256.0,1/29/2025 22:23
HP Book X360G6 EE Touch.6 i3 dows,185.71,8.0,Intel Core i3 10th Gen.,HP ProBook X360 11 G6 EE,HP,Intel HD Graphics,11.6,128.0,1/29/2025 22:23
HPComputer EliteBook 440 G4 14 i3 dows,185.99,8.0,Intel Core i3 7th Gen.,hp probook 440 g4,HP,Intel HD Graphics 620,14.0,500.0,1/29/2025 22:22
HANDHELD ALGIZ/W7 Docking Station Tablet Hard,187.64,16.0,Integrated,HANDHELD ALGIZ/W7 Docking Station Tablet Hard,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
14Dell Latitude dows 10!,188.95,16.0,Intel i5 Dual Core,Dell Latitude E5420,Dell,Intel HD Graphics,14.0,1000.0,1/29/2025 22:22
Dell Latitude 5580 6200u,189.99,16.0,Intel Core i5 6th Gen.,Dell Latitude 5580,Dell,Intel HD Graphics 530,15.6,512.0,1/29/2025 22:23
~CLEARANCEHP Book ~ dows 10!,192.95,16.0,Intel Core i5 4th Gen.,HP ProBook,HP,Intel HD Graphics,15.6,512.0,1/29/2025 22:22
HP inch Pentium N200Drive HDMI,194.37,4.0,Intel Pentium,Pavilion 15,HP,Integrated Intel UHD Graphics,15.6,128.0,1/29/2025 22:23
HP 15HD Pentium Quad N200Home Red,194.37,8.0,Intel Pentium,HP LAPTOP 15-FD,HP,Unknown Graphics,15.6,128.0,1/29/2025 22:22
Dell Latitude 14 ~ dows 10 !,194.95,16.0,Intel Core i7-5600U,Dell Latitude E7450,Dell,Intel HD Graphics,14.0,256.0,1/29/2025 22:23
2in DELL /Tablet~ dows !,194.95,8.0,Intel Core i5 8th Gen.,Dell Latitude 5290,Dell,Intel HD Graphics,12.5,512.0,1/29/2025 22:23
~CD/DVD DRIVE~Lenovo inkPad !,194.99,16.0,Intel Core i5 6th Gen.,~CD/DVD DRIVE~Lenovo inkPad !,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Lenovo IdeaPad Duet 10.3 in,195.99,8.0,Intel N5030,Ideapad Duet 3 10igl5,Lenovo,Unknown Graphics,10.3,128.0,1/29/2025 22:22
Dell Latitude 3310 2in dows,196.05,8.0,Intel Core i5-8265U,Dell Latitude 3310 2-in-1,Dell,Intel HD Graphics 520,13.3,256.0,1/29/2025 22:23
Lenovo inkPad T540p 4330M 10,199.0,16.0,Intel Core i5 4th Gen.,Lenovo Thinkpad T540p,Lenovo,Unknown Graphics,15.6,512.0,1/29/2025 22:23
HP14HD i315G4 Ie,199.95,8.0,Intel Core i3-1115G4,HP 14,HP,Intel UHD Graphics,14.0,128.0,1/29/2025 22:23
14HD Lenovo inkPad ~dows 10 !,199.95,16.0,Intel Core i5 6th Gen.,Lenovo ThinkPad T460,Lenovo,Intel HD Graphics,14.0,1000.0,1/29/2025 22:23
Dell Latitude 7490 8350U,199.98,16.0,Intel Core i5 8th Gen.,Dell Latitude 7490,Dell,Intel HD Graphics 620,14.0,512.0,1/29/2025 22:23
~OVERSTOCK SALE14HP EliteBook 10,199.99,16.0,Intel Core i5 4th Gen.,Elitebook 840 G1,HP,Intel HD Graphics,14.0,512.0,1/29/2025 22:22
Dell Latitude 5510 10310U,199.99,16.0,Intel Core i5-10310U,Dell Latitude E5570,Dell,Intel HD Graphics,15.6,256.0,1/29/2025 22:23
HP15zfc0001280x720Athlon7120U 128,199.99,8.0,AMD Athlon Silver 7120U,HP Laptop 15z-fc000,HP,AMD Radeon Graphics,15.6,128.0,1/29/2025 22:23
HP14ep0xxx1280x720N100dowsHome,199.99,8.0,Intel N100,HP Laptop 14-ep0xxx,HP,Unknown Graphics,14.0,256.0,1/29/2025 22:23
CHUWI Book13 i3 8G+Gdows10Computer Netbook,199.99,16.0,Does not apply,CHUWI Book13 i3 8G+Gdows10Computer Netbook,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Dell Latitude E55706thdows 10/,199.99,16.0,Intel Core i7 8th Gen.,Dell Latitude E55706thdows 10/,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
CHUWI Book13 i3 8G+Gdows10Computer Netbook,199.99,16.0,Intel i3-6157U,CHUWI Corebook Pro,CHUWI,Iris Graphics 540,13.0,256.0,1/29/2025 22:22
DELL LATITUDE 7480 7600U,202.72,16.0,Does not apply,DELL LATITUDE 7480 7600U,DELL,Unknown Graphics,13.9,512.0,1/29/2025 22:23
Dell Latitude 73008665UW10P,206.99,16.0,Intel Core i7-8665U,Dell Latitude 7300,Dell,Unknown Graphics,13.3,512.0,1/29/2025 22:23
~OVERSTOCKDell Latitude G dows !,209.95,8.0,Intel Core i5-8250U,Dell Latitude 7390,Dell,Intel HD Graphics,13.3,256.0,1/29/2025 22:23
~OVERSTOCK SALE14Lenovo inkPadQuad dows,209.97,8.0,Intel Core i5-8250U,ThinkPad T490S,Lenovo,Intel HD Graphics,14.0,256.0,1/29/2025 22:23
LENOVO inkPad T460 14HD 6300U Solid S,214.0,16.0,Does Not Apply,LENOVO inkPad T460 14HD 6300U Solid S,Does Not Apply,Unknown Graphics,14.0,512.0,1/29/2025 22:23
