Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8 GB,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
Acer Aspire Lite 5 Hexa5625U - (8 GB/512 GB /dows 11 Home) AL1541 in and Ligh...,460.0,8 GB,Ryzen 5 Hexa Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 inch),512 GB
ASUS Vivobook S 1513th13900H - (16 GB/512 GB /dows 11 Home) K5504VABBN417WS...,924.875,16 GB,Core i9,K5504VAB-BN417WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16 GB,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
Lenovo V1412th1235U - (16 GB/512 GB /dows 11 Home) V 14 in and Light Lapto...,467.375,16 GB,Core i5,V14,Lenovo,Intel Integrated Intel,35.81 cm (14.1 inch),512 GB
HP 255 G10 (2024) 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 250 G10 in and Lig...,321.25,8 GB,Ryzen 3 Quad Core,255 G10,HP,AMD Radeon AMD RADEON,39.62 cm (15.6 inch),512 GB
Acer Aspire 312th1255U - (16 GB/512 GB /dows 11 Home) A32451 in and Light...,624.875,16 GB,Core i7,A324-51,Acer,Intel Integrated Iris Xe,35.56 cm (14 Inch),512 GB
ASUS Vivobook 1512th1235U - (16 GB/512 GB /dows 11 Home) X1502ZAEJ545WS i...,587.375,16 GB,Core i5,X1502ZA-EJ545WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
Acer Aspire Lite 7 Octa5700U - (16 GB/1 TB /dows 11 Home) AL1541 in and Light...,562.375,16 GB,Ryzen 7 Octa Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 Inch),1 TB
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK323...,462.375,8 GB,Ryzen 3 Quad Core,E1504FA-LK323WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512 GB
Acer Aspire 713th13420H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA G...,724.875,16 GB,Core i5,A715-79G,Acer,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512 GB
Acer 3 Quad5300U - (16 GB/512 GB /dows 11 Home) AL1541 in and Light,399.875,16 GB,Ryzen 3 Quad Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 Inch),512 GB
Acer Aspire Lite i3 12th1215U - (8 GB/512 GB /dows 11 Home) AL1552 in and Lig...,399.875,8 GB,Core i3,Aspire Lite,Acer,Intel Integrated Intel HD,39.62 cm (15.6 inch),512 GB
Acer Nitro V 7 Octa7735HS - (16 GB/512 GB /dows 11 Home/6 GB /NVIDIA GeF...,1037.375,16 GB,Ryzen 7 Octa Core,ANV15-41,Acer,NVIDIA GeForce RTX 4050,39.62 cm (15.6 Inch),512 GB
"ASUS Vivobook 16X for Creator,12th12700H - (16 GB/512 GB /dows 11 Home/4 GB ...",887.375,16 GB,Core i7,K3605ZC-RP628WS,ASUS,NVIDIA GeForce RTX 3050,40.64 cm (16 Inch),512 GB
Lenovo IdeaPad Slim 3 i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15IAU7 in and...,427.5,8 GB,Core i3,15IAU7,Lenovo,Intel Integrated UHD,39.62 cm (15.6 inch),512 GB
ZEBRONICSSeries Z12th1235U - (8 GB/512 GB /dows 11 Home) ZEBNBC 4S i...,374.875,8 GB,Core i5,ZEB-NBC 4S,ZEBRONICS,Intel Integrated UHD,39.62 cm (15.6 inch),512 GB
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8 GB,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
Acer Aspire 3 Backlit 5 Hexa7430U - (16 GB/512 GB /dows 11 Home) A32542 in an...,487.375,16 GB,Ryzen 5 Hexa Core,A325-42,Acer,AMD Radeon AMD,39.62 cm (15.6 Inch),512 GB
ZEBRONICSSeries Z12th1235U - (8 GB/512 GB /dows 11 Home) ZEBNBC 4S i...,374.875,8 GB,Core i5,ZEB-NBC 4S,ZEBRONICS,Intel Integrated UHD,39.62 cm (15.6 inch),512 GB
DELL Latitude 3540 (2024) i3 12th1215U - (8 GB/512 GB /dows 11 ) Latitude 354...,393.625,8 GB,Core i3,Latitude 3540,DELL,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512 GB
omson NEOSeries12th1235U - (8 GB/512 GB /dows 11 Home) INN15I in ...,349.875,8 GB,Core i5,IN-N15I,Thomson,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512 GB
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16 GB,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK323...,462.375,8 GB,Ryzen 3 Quad Core,E1504FA-LK323WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512 GB
