Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
ASUS Vivobook Go 15 OLED 5 Quad7520U - (8 GB/512 GB /dows 11 Home) E1504FALK521...,562.375,8.0,Ryzen 5 Quad Core,E1504FA-LK521WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Nitro V 7 Octa7735HS - (16 GB/512 GB /dows 11 Home/6 GB /NVIDIA GeF...,912.375,16.0,Ryzen 7 Octa Core,ANV15-41,Acer,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-08
HP 15s i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15sfq5007TU in and Light La...,624.875,8.0,Core i3,15s-fq5007TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-08
Infinix X Air +13th1334U - (16 GB/512 GB /dows 11 Home) XL434 in and Li...,624.875,16.0,Core i5,INBOOK Air Pro+,Infinix,Intel Integrated Iris Xe,35.56 cm (14 inch),512.0,2025-02-08
Acer Aspire 3 i3 12th- (8 GB/512 GB /dows 11 Home) A31559 in and Light,368.625,8.0,Core i3,Aspire 3,Acer,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
Lenovo Lenovo V15 G3 IAP12th1235U - (16 GB/512 GB /dows 11 Home) 82TTA07RIH ...,510.5,16.0,Core i5,82TTA07RIH,Lenovo,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
HP 15s i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15sfy5003TU in and Light La...,449.875,8.0,Core i3,15s-fy5003TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-08
Lenovo V15 7 Octa7730U - (16 GB/512 GB /dows 11 Home) v15 G4 Business,499.9875,16.0,Ryzen 7 Octa Core,V series,Lenovo,AMD Radeon AMD Radeon™ Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
Acer Aspire 713th13420H - (16 GB/512 GB /dows 11 Home/6 GB /NVIDIA G...,787.375,16.0,Core i5,A715-79G,Acer,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo V15 3 Quad7320U - (8 GB/512 GB /dows 11 Home) V15 G4 AMN 1 in and Light...,332.375,8.0,Ryzen 3 Quad Core,V15 G4,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-08
HP 15s i3 13th1315U - (8 GB/512 GB /dows 11 Home) 15fd0006TU in and Light Lap...,498.75,8.0,Core i3,15-fd0006TU,HP,Intel Integrated Integrated,39.62 cm (15.6 Inch),512.0,2025-02-08
DELL 15 3 Quad7320U - (8 GB/512 GB /dows 11 Home) Inspiron 3535 in and Light L...,374.875,8.0,Ryzen 3 Quad Core,Inspiron 3535,DELL,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-08
HP 250R G9 (2024) i3 13thi3 - 1315U (13th ) - (8 GB/512 GB /dows 1...,388.625,8.0,Core i3,250R G9,HP,Intel Integrated Intel® UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
