title,price,image_url,promo,coupon,collection_date
"iBUYPOWER Y60 Black Gaming PC Computer Desktop Y60BA9N47TS03 (AMD Ryzen 9 7900X CPU, NVIDIA GeForce RTX 4070 Ti Super 16GB GPU, 32GB DDR5 RGB 5200MHz RAM, 2TB NVMe, WiFi Ready, Windows 11 Home)","$1,899.99",https://m.media-amazon.com/images/I/81vkfy7DneL._AC_UY218_.jpg,"Fri, Jan 24",No coupon,2025-01-12 19:09:03
"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",$530.26,https://m.media-amazon.com/images/I/61Wc1fDGJuL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"Dell OptiPlex Desktop Computer with 24 inch Monitor PC and Monitor Bundle, i7-6700 3.4GHz,16GB Ram New 512GB SSD,Intel AC7260 Built-in WiFi Bluetooth,HDMI,Refurbished Desktop,Windows 10 Pro (Renewed)",$238.99,https://m.media-amazon.com/images/I/81x9-laqL0L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),$145.00,https://m.media-amazon.com/images/I/614Jk1dIoGL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"Dell Optiplex 9020 Small Form Factor Desktop with Intel Core i7-4770 Upto 3.9GHz, HD Graphics 4600 4K Support, 32GB RAM, 1TB SSD, DisplayPort, HDMI, Wi-Fi, Bluetooth - Windows 10 Pro (Renewed)",$199.99,https://m.media-amazon.com/images/I/61S5alwyFLL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"TPV 16"" Laptop Computer Intel Core i5, 16GB RAM, 512GB SSD, MS Office 2024, IPS(1920 x 1200) 16:10 Display, Windows 11 Pro Notebook PC with BT5.0 Wi-Fi, 3xUSB A, HDMI, RJ45, Backlit Keyboard, Gray",$329.00,https://m.media-amazon.com/images/I/81StbXTGn1L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"14"" Laptop Win 11 256GB SSD Up to 1TB SSD Expand Celeron N4020 Up to 2.8Ghz Dual-Core Processor 6GB DDR4 1920x1080 FHD Dual WiFi BT4.2 with Webcam Keyboard Protect Flim for Business-Silver",$209.99,https://m.media-amazon.com/images/I/71foIEZhgmL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"Gaming Laptop AMD Ryzen 7 5825U(8C/16T), Radeon RX Vega 8 Graphics,16.1“FHD Display,16GB DDR4 512GB NVMe SSD Laptop Computer with Backlit KB,Type_C (Full Function),WiFi 6, 53Wh Battery",$599.99,https://m.media-amazon.com/images/I/714DRAZNKJL._AC_UY218_.jpg,"Wed, Jan 22",20% off coupon applied,2025-01-12 19:09:03
"CyberPowerPC Gamer Xtreme VR Gaming PC, Intel Core i5-13400F 2.5GHz, GeForce RTX 4060 8GB, 16GB DDR5, 1TB PCIe Gen4 SSD, WiFi Ready & Windows 11 Home (GXiVR8060A24)",$899.99,https://m.media-amazon.com/images/I/71rPUJ72P5L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"HP 2023 Essential 17t Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1355U, 64GB RAM, 2TB SSD, Webcam, HDMI, Backlit Keyboard, Fingerprint Reader, Wi-Fi 6, Windows 11 Home, Pale Rose Gold",$862.16,https://m.media-amazon.com/images/I/61KHQ5IcPLL._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:09:03
"ACEMAGIC Vista V1 N97 Mini PC,16GB DDR4 RAM 512GB SSD Mini Computers, 12th Gen N97(Beat N100/N95, up to 3.6GHz),Small Desktop Computer 4K Dual Display/WiFi/VESA for Home/Office,Preinstalled Win 11 Pro",$158.00,https://m.media-amazon.com/images/I/614IwsopiYL._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:09:03
"Lenovo 11.6"" 300e Chromebook Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)",Price not available,https://m.media-amazon.com/images/I/812k3mDHXjL._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:09:03
"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","$1,331.30",https://m.media-amazon.com/images/I/81GrCeuCzxL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"2025 Laptop Computer with Windows 11, Intel N150 Quad-Core Processor 16GB DDR4 RAM 512GB SSD, 15.6"" FHD IPS Display, Long Battery Life, Traditional Laptops for Business Office Student Gaming",$379.99,https://m.media-amazon.com/images/I/71-DpVOsHwL._AC_UY218_.jpg,"Wed, Jan 22",10% off coupon applied,2025-01-12 19:09:03
"Dell OptiPlex Computer Desktop PC, Intel Core i5 3rd Gen 3.2 GHz, 16GB RAM, 2TB HDD, New 22 Inch LED Monitor, RGB Keyboard and Mouse, WiFi, Windows 10 Pro (Renewed)",$198.89,https://m.media-amazon.com/images/I/91Fb+Pcxe-L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"AINOTE Air 2 Note Taking Tablet, 8.2-inch Writing Tablet for Adults, Voice Transcribe Support 8 Languages, 32GB Memory, Digital Notebook with Stylus Pen, E Ink Paper Tablet for Meetings, Grey",$549.00,https://m.media-amazon.com/images/I/61s6bh84g5L._AC_UY218_.jpg,"Wed, Jan 22",$90.00 off coupon applied,2025-01-12 19:09:03
"14"" FHD Lightweight Laptop, Intel Celeron N3350 Laptop Computer, 6GB LPDDR4 RAM 192GB(64GB eMMC/128GB SSD), WI-FI 5, BT5.0, HD Camera, Windows 10 Laptop Computer for Home & Study",$199.99,https://m.media-amazon.com/images/I/7149MuO6LtL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:03
"Handheld USB 2D Barcode Scanner Reader for Computers, NetumScan Handheld Wired Automatic QR Bar Code Scanners for Mobile Payment, Store, Supermarket, Warehouse",$23.98,https://m.media-amazon.com/images/I/61dVfjDp-mL._AC_UY218_.jpg,"Thu, Jan 23",No coupon,2025-01-12 19:09:19
"Air Duster, Perfect Replacement for Compressed Air Canisters, Keyboard Cleaner, Computer Cleaner, Cordless Air Duster, Up to 150,000 RPM, 9000mAh Duster",$29.99,https://m.media-amazon.com/images/I/71BoqxwM-1L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",$173.80,https://m.media-amazon.com/images/I/71tXLOE7wIL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"16.0-inch Laptop, 16GB DDR4 512GB SSD Gaming Laptop, Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life","$1,399.99",https://m.media-amazon.com/images/I/71Ls2+M7TSL._AC_UY218_.jpg,"Wed, Jan 22",50% off coupon applied,2025-01-12 19:09:19
"GMKtec Mini PC Windows 11 Pro Intel Core i7-1195G7 (Turbo 5.0 GHz) 32GB DDR4 1TB SSD Desktop Mini Computers WiFi 6, BT 5.2/ DP, HDMI/RJ45 2.5G/USB4.0",$639.99,https://m.media-amazon.com/images/I/61-F9SwrzxL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"18.5 Inch Laptop, 4GB RAM 128GB EMMC, Gray | Windows 11, Laptops for Student, Celeron N5095 Quad-Core",$999.99,https://m.media-amazon.com/images/I/71+8Ee7j+BL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"Dell Optiplex Small Desktop Computer (SFF) PC | Quad Core Intel i5 (3.2GHz) | 16GB DDR3 RAM | 512GB SSD | 24 Inch Monitor | RGB Gaming Keyboard & Mouse, Headset | Windows 10 Pro (Renewed)",$299.99,https://m.media-amazon.com/images/I/81UAXjWUDTL._AC_UY218_.jpg,"Fri, Jan 24",No coupon,2025-01-12 19:09:19
"Windows 11 Laptop Computers, 15.6 Inch Laptops, 36GB DDR4, 128GB EMMC+1024GB SSD, Celeron N5095 Quad-Core, 1 Year Office 365, 7000mAh, WiFi 6. BT5.2. USB 3.2, HDMI, Type-C, Portable Notebook","$1,399.99",https://m.media-amazon.com/images/I/71hwQA43pyL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"Laptop Computer, 15.6 inch, with Celeron N5095 Processor(Up to 2.9GHz), FHD 1920x1080 Display, 12GB DDR4 512GB SSD, Bluetooth 4.2, USB 3.0, WiFi(Gray)",$139.99,https://m.media-amazon.com/images/I/71d6sfQwPCL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"HP 2022 All-in-One Desktop, 21.5"" FHD Display, Intel Celeron J4025 Processor, 8GB RAM, 256GB PCIe SSD, Webcam, WiFi, HDMI, RJ-45, Wired Keyboard&Mouse, Windows 11 Home, White",$389.95,https://m.media-amazon.com/images/I/91f9y+HBacL._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:09:19
"TPV 16"" Laptop Computer Intel Core i5, 16GB RAM, 512GB SSD, MS Office 2024, IPS(1920 x 1200) 16:10 Display, Windows 11 Pro Notebook PC with BT5.0 Wi-Fi, 3xUSB A, HDMI, RJ45, Backlit Keyboard, Gray",$329.00,https://m.media-amazon.com/images/I/81StbXTGn1L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"Mini PC i9, Desktop Computer Core i9-9880H 8 cores, Windows 11 Pro, TPM2.0, 32G DDR4, 1T NVME SSD, DP/HDMI/Type-C Port, Triple Display, 4K@60Hz, Dual 2.5G LAN, WiFi 6E/BT5.3, 4G Module, VESA",$489.00,https://m.media-amazon.com/images/I/61EhW+I-TgL._AC_UY218_.jpg,Jan 21 - 29,5% off coupon applied,2025-01-12 19:09:19
"KAMRUI Mini PC Windows 11 Pro, AMD Ryzen 7 PRO 5875U, 16GB DDR4 512GB M.2 SSD Mini Computer, Mini Gaming PC with USB Type-C, Desktop Computer Supports Triple 4K Display, WiFi 6, BT 5.2",$279.95,https://m.media-amazon.com/images/I/61a962e7+cL._AC_UY218_.jpg,No promotion,No coupon,2025-01-12 19:09:19
Laptop Computer Intel N97 Windows Laptop 15.6-inch IPS 16GB DDR4 512GB M.2 2280 SSD Traditional Laptops Numeric Keypad WiFi5 HDMI Type-C USB,$359.99,https://m.media-amazon.com/images/I/71emF4p1RbL._AC_UY218_.jpg,No promotion,10% off coupon applied,2025-01-12 19:09:19
"ACEMAGIC Laptop, Windows 11 Laptop Computer,16GB DDR4 512GB SSD Laptops, Intel Quad-Core Processor, 180° Open Angle,Long Battery Life,Metal Shell,WiFi,USB3.2, Type C",$359.88,https://m.media-amazon.com/images/I/71a8eNpIHTL._AC_UY218_.jpg,"Thu, Jan 23",10% off coupon applied,2025-01-12 19:09:19
"Gaming Laptop, 2024 Laptop with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Laptop Computer, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life",$379.99,https://m.media-amazon.com/images/I/71JmxFdNG5L._AC_UY218_.jpg,"Wed, Jan 22",$70.00 off coupon applied,2025-01-12 19:09:19
"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 32GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue",$638.98,https://m.media-amazon.com/images/I/71DHV9GZSOL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
