Title,Price,Case Size,Battery Capacity,Model,Operating System,Storage Capacity,Price (USD)
"boAt Wave Call 2 Plus with 1.96’’(4.97cm), BT Calling, ...",1449.0,49.7,7 Days,"Wave Call 2 Plus with 1.96’’(4.97cm), BT Calling, Bilingual Support, IP68",Android & iOS,,17.388
"boAt Ultima Prism with 1.96"" AMOLED Display,BT Calling,...",1999.0,1.96,Upto 7 days,"Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio",Android & iOS,,23.988
Titan Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Fu...,3999.0,46.99,Upto 7 Days,Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Functional Crown|AI Coach|Fashion,Android & iOS,,47.988
"ZEPAD DZ09 Smartwatch with Camera, Smartwatch",1299.0,40.0,6,"DZ09 Smartwatch with Camera,",Android & iOS,256.0,15.588000000000001
"boAt Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",1499.0,51.0,Upto 7 days,"Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Screen, Crest App, QR Code Tray",Android & iOS,,17.988
Titan Smart 3-1.96''|Super AMOLED|AOD|Premium Design|BT...,4995.0,1.96,Upto 7 days,Smart 3-1.96''|Super AMOLED|AOD|Premium Design|BT Calling|Nitro Fast Charge|IP68,Android & iOS,,59.94
"boAt Ultima Regal w/ 5.1cm(2.01"") AMOLED Display,Functi...",2799.0,51.0,7 Days,"Ultima Regal w/ 5.1cm(2.01"") AMOLED Display,Functional Crown & BT Calling",Android & iOS,,33.588
boAt Lunar Mirage w/ 3.86 cm(1.52'') HD Display & Advan...,1499.0,1.52,Upto 7 days,Lunar Mirage w/ 3.86 cm(1.52'') HD Display & Advanced Bluetooth Calling,Android & iOS,,17.988
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
,1099.0,,,,,,13.188
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...",2399.0,1.43,Upto 5 Days,"Optimus Pro with 1.43"" AMOLED Display & AOD(466x466),Functional Crown,BT Calling",Android & iOS,,28.788
"Cult Velocity with Built-in Turbo Track GPS,1.4'' AMOLE...",2299.0,36.322,Upto 7 Days,"Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling",Android & iOS,,27.588
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....",1399.0,46.4,Upto 7 days,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Android & iOS,,16.788
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...",1198.0,49.53,Upto 5 Days,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Android & iOS,,14.376
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",1399.0,1.69,Upto 7 Days,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android & iOS,,16.788
Apple Watch Series 10 GPS + Cellular 46mm Silver Alumin...,59900.0,1.81,Upto 18 Hours On Normal Use,Watch Series 10 GPS + Cellular 46mm Silver Aluminium with Denim Sport Band,iOS,,718.8000000000001
"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...",2399.0,1.43,Upto 5 Days,"Optimus Pro with 1.43"" AMOLED Display & AOD(466x466),Functional Crown,BT Calling",Android & iOS,,28.788
"Cellecor AQUA 1.83"" HD Display | 600 NITS | BT-Calling ...",799.0,46.48,Long Lasting Battery Life,"AQUA 1.83"" HD Display | 600 NITS | BT-Calling | AI Voice | IP68 WaterResistant",Android & iOS,,9.588000000000001
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",1699.0,35.306,Up to 7 Days,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android & iOS,,20.388
