Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors
EVGA evga geforce gtx 750ti superclocked 02gp43753kr,400.5,EVGA,2.0,GDDR5,NVIDIA,VGA; DVI
PNY pny geforce rtx 4070 ti verto fan dlss 3,101681098.8,PNY,12.0,GDDR5,NVIDIA,VGA; DVI
AMD amd rx 580 4 gb performance 80 of gtx1660 super 131 of gtx,135.5,AMD,4.0,GDDR5,NVIDIA,VGA; DVI
PNY NVIDIA,295.3,PNY,4.0,GDDR5,NVIDIA,VGA; DVI
ASUS asus rtx3060o12gv2 graphic rog herculx antisag holder,470.2,ASUS,16.0,GDDR5,NVIDIA,DisplayPort; HDMI and DisplayPort
ZOTAC GeForce RTX 4070,1056.5,ZOTAC,16.0,GDDR5,GeForce RTX 4070,DisplayPort; HDMI and DisplayPort
ZOTAC GeForce RTX 4070,177.8,ZOTAC,16.0,GDDR5,GeForce RTX 4070,DisplayPort; HDMI and DisplayPort
EVGA evga geforce gtx 750ti superclocked 02gp43753kr,400.5,EVGA,2.0,GDDR5,NVIDIA,VGA; DVI
ZOTAC zotac gaming geforce rtx 4080 super trinity white edition dlss 3,2424.2,ZOTAC,16.0,GDDR6,NVIDIA,VGA; DVI
ZOTAC NVIDIA,216.5,ZOTAC,10.0,GDDR5,NVIDIA,DisplayPort; HDMI
PNY pny geforce rtx 4070 ti verto fan dlss 3,101681098.8,PNY,10.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
AMD amd rx 580 4 gb performance 80 of gtx1660 super 131 of gtx,135.5,AMD,10.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
PNY GeForce 7950,295.3,PNY,10.0,GDDR5,GeForce 7950,DisplayPort; HDMI
ZOTAC zotac geforce rtx 3080 trinity lhr 10gb 320bit 19 gbps 40 gaming,1029.1,ZOTAC,10.0,GDDR6,GeForce RTX  3080,DisplayPort; HDMI
ZOTAC zotac gaming geforce rtx 3080 ti trinity 384bit 19 gbps 40,1493.7,ZOTAC,12.0,GDDR6,GeForce RTX  3080,DisplayPort; HDMI
ZOTAC GeForce RTX 4070,918.9,ZOTAC,12.0,GDDR6,GeForce RTX 4070,DisplayPort; HDMI
ZOTAC GeForce RTX 4070,196.9,ZOTAC,12.0,GDDR6,GeForce RTX 4070,VGA; DVI; HDMI
ZOTAC GeForce RTX 4070,73.5,ZOTAC,12.0,GDDR6,GeForce RTX 4070,VGA; DVI; HDMI
PNY pny geforce rtx 4070 super xlr8 gaming verto epicx rgb fan,902.0,PNY,12.0,GDDR6,GeForce RTX  4070,VGA; DVI; HDMI
PNY GeForce RTX  4070,101.3,PNY,4.0,GDDR6,GeForce RTX  4070,DisplayPort
PNY GeForce RTX  4070,196.9,PNY,4.0,GDDR6,GeForce RTX  4070,DisplayPort
ZOTAC GeForce RTX 4060,641.0,ZOTAC,8.0,GDDR6,GeForce RTX 4060,VGA
ZOTAC GeForce RTX 4060,101.3,ZOTAC,4.0,GDDR6,GeForce RTX 4060,VGA
ZOTAC GeForce RTX 4060,1696178.6,ZOTAC,8.0,GDDR5,GeForce RTX 4060,VGA
ZOTAC GeForce RTX 4060,75.1,ZOTAC,4.0,GDDR5,GeForce RTX 4060,DisplayPort; DVI; HDMI
ZOTAC GeForce RTX 4080,2369.5,ZOTAC,16.0,GDDR6,GeForce RTX 4080,DisplayPort; DVI; HDMI
ZOTAC GeForce RTX 4080,49452.8,ZOTAC,1.0,GDDR6,GeForce RTX 4080,DisplayPort; DVI; HDMI
ZOTAC GeForce RTX 4080,1572.9,ZOTAC,12.0,GDDR6,GeForce RTX 4080,DisplayPort; DVI; HDMI
EVGA GeForce GTX 1080,822.8,EVGA,8.0,GDDR5,GeForce GTX 1080,DisplayPort; HDMI
GeForce RTX 3060,634.2,EVGA,12.0,GDDR6,GeForce RTX 3060,DisplayPort; HDMI
EVGA GeForce RTX 3060,191.9,EVGA,4.0,GDDR5,GeForce RTX 3060,DisplayPort; HDMI
EVGA GeForce RTX 3060,304.9,EVGA,8.0,GDDR5,GeForce RTX 3060,DisplayPort
EVGA GeForce RTX 3060,92096.3,EVGA,8.0,GDDR5,GeForce RTX 3060,DisplayPort
EVGA GeForce RTX 3060,256.6,EVGA,8.0,GDDR5,GeForce RTX 3060,DisplayPort
GALAX galax geforce rtx 4060 ti 1click xtreme tuner app control,538.5,GALAX,8.0,GDDR5,GeForce RTX  4060,DisplayPort
EVGA GeForce RTX 2080,1165.7,EVGA,8.0,GDDR6,GeForce RTX 2080,VGA
EVGA GeForce RTX 2080,215.8,EVGA,8.0,GDDR5,GeForce RTX 2080,4*HDMI
EVGA GeForce RTX 2080,74.0,EVGA,2.0,GDDR5,GeForce RTX 2080,4*HDMI
EVGA GeForce RTX 3060,672.5,EVGA,12.0,GDDR5,GeForce RTX 3060,HDMI
GeForce RTX 3060,523.5,EVGA,12.0,GDDR5,GeForce RTX 3060,HDMI
EVGA GeForce RTX 3060,222.9,EVGA,12.0,GDDR5,GeForce RTX 3060,HDMI
