Category,Title,Price,RAM,CPU,Model,GPU,Screen Size,Storage,Collection Date
Laptops,newOS SEQUOIA MACBOOK PRO 15 TOUCHBAR - 6 CORE 2.9GHz i9  - 32GB RAM 2TB SSD,880.68,32.0,Intel Core i9,MacBook Pro (Retina),,15 in,,2025-01-27 01:48:33
Laptops,MacBook Pro 16 Touch Bar Space Gray 2019 2.6GHz i7 16GB 1TB - Radeon Pro 5500M,529.99,16.0,Intel Core i7 9th Gen.,MacBook Pro,,16 in,,2025-01-27 01:47:51
Laptops,SEQUOIA MACBOOK PRO 15 TOUCHBAR - 6 CORE 2.9GHz i9 TURBO 32GB RAM 1TB SSD,660.48,32.0,Intel Core i9,MacBook Pro (Retina),,15 in,,2025-01-27 01:46:11
Laptops,Apple MacBook Air Core i5 1.6GHz 8GB RAM 128GB SSD 13  MJVE2LL/A (2015) - Good,194.97,8.0,Intel Core i5,Apple MacBook Air,,13.3 in,128.0,2025-01-27 01:47:38
Laptops,Apple Apple MacBook Air 13.3•2560 x 1600•8210Y•Gray•13.3 es•8GB•,549.99,8.0,8210Y,Apple MacBook Air 13.3,,13.3 in,256.0,2025-01-27 01:45:22
Laptops,Apple MacBook Pro 15'' Core i5 2.9GHz 8GB RAM 256GB SSD - Very Good,490.99,8.0,Intel Core i7 6th Gen.,MacBook Pro,,15 in,256.0,2025-01-27 01:46:32
Laptops,Apple MacBook Pro Laptop Core i5 2.4GHz 8GB RAM 256GB SSD 13,269.99,8.0,Intel Core i5,Apple MacBook Pro,,13.3 in,256.0,2025-01-27 01:47:37
Laptops,"MACBOOK PRO 13-INCH, 2017, 256GB HD, 8GB RAM, A1708 macOS VENTURA FREE SHIPPING",349.99,8.0,Intel Core i5 7th Gen.,MacBook Pro,,13 in,256.0,2025-01-27 01:49:37
Laptops,Apple MacBook Air 13 2017 - Core i7 2.2GHz 8GB RAM 256GB SSD - Good Condition,229.99,8.0,Intel Core i7,MacBook Air,,13 in,256.0,2025-01-27 01:46:47
Laptops,MacBook Pro 15 Touch Bar Space Gray 2018 2.9 GHz Intel Core i9 16GB 1TB,399.99,16.0,Intel Core i9 8th Gen.,MacBook Pro,,15.4 in.,,2025-01-27 01:46:06
Laptops,15 MacBook Pro EXCELLENT REFURBISHED | 2015 | FORCE TOUCH | 16GB | 1TB SSD,446.5,16.0,Intel Core i7 4th Gen.,MacBook Pro (Retina),,15.4 in,,2025-01-27 01:47:58
Laptops,"Apple Macbook Air 2015 11 Core i5 1.6GHz 8GB 256GB SSD MJVM2LL/A Laptop, Good",162.99,8.0,Intel Core i5,Apple MacBook Air,,11.6 in,256.0,2025-01-27 01:46:27
Laptops,SEQUOIA Apple MacBook Pro 13 4.1GHz i7 Quad Core 32GB RAM 1TB SSD - WARRANTY,928.21,32.0,Intel Core i7,MacBook Pro (Magic Keyboard),,13 in,,2025-01-27 01:46:23
Laptops,Apple MacBook Pro Core i5 2.7GHz 8GB RAM 128GB SSD 13 MF839LL/A - Very Good,209.99,8.0,Intel Core i5 5th Gen.,MacBook Pro,,13.3 in,128.0,2025-01-27 01:46:54
Laptops,Apple MacBook Core i5 1.3GHz 8GB RAM 512GB SSD 12 MNYG2LL/A (2017) - Good,319.97,8.0,Intel Core i5,Apple MacBook,,12 in,512.0,2025-01-27 01:46:49
Laptops,SEQUOIA Apple MacBook Pro 13 4.1GHz i7 Quad Core 32GB RAM 1TB SSD - WARRANTY,835.11,32.0,Intel Core i7,MacBook Pro (Retina),,13.1 in,,2025-01-27 01:45:45
Laptops,NEW Apple MacBook Air M1 Chip 256GB SSD 8GB 13.3 Gold Retina Display Laptop,639.95,8.0,Apple M1,MGND3LL/A,,13.3 in,256.0,2025-01-27 01:46:11
Laptops,Apple Macbook Air 2015 11 I5 1.6GHz 4GB 128GB SSD MJVM2LL/A Laptop,159.99,4.0,Intel Core i5 5th Gen.,Apple MacBook Air A1465,,11.6 in,128.0,2025-01-27 01:48:09
Laptops,"Apple A1990 MacBook Pro 2018 15 Intel i7-8750H 16GB RAM 512GB SSD, Very Good",456.99,16.0,Intel Core i7 8th Gen.,A1990,,15.4 in,512.0,2025-01-27 01:48:19
Laptops,Apple MacBook Air 15 2024 M3 8-Core CPU 10-Core GPU 8GB 256GB Midnight Very Good,829.99,8.0,Apple M3,MacBook Air,,15.3 in.,256.0,2025-01-27 01:46:00
Laptops,"Apple MacBook Pro 18,3 2021 A2442 EMC2650 14 M1 Pro 16GB RAM 512GB OSX Sonoma",799.99,8.0,Apple M1 Pro,MacBook Pro,,14 in,256.0,2025-01-27 01:45:57
Laptops,"Apple MacBook Air MJVM2LL/A 11.6 256GB, Silver",174.0,4.0,Intel Core i5 5th Gen.,MacBook Air,,11.6 in,256.0,2025-01-27 01:46:41
Laptops,Apple MacBook Air Core i3 1.1GHz 8GB RAM 128GB SSD 13 MWTK2LL/A (2020) - Good,389.97,8.0,Intel Core i3,Apple MacBook Air,,13.3 in,128.0,2025-01-27 01:45:36
Laptops,2020+ Apple MacBook Pro 13 3.2GHz M1 TURBO 16GB RAM 256GB SSD - SEQUOIA,714.42,16.0,Apple M1,MacBook Pro (Magic Keyboard),,13 in,256.0,2025-01-27 01:48:09
Laptops,Apple Macbook Pro Core i9 2.3GHz 16 1TB SSD 16GB RAM Silver MVVM2LL/A 2019,549.99,16.0,Intel Core i9,Apple MacBook Pro,,16 in,,2025-01-27 01:45:44
Laptops,Apple Notebook,997.99,8.0,Intel Core i7 1st Gen.,MacBook,,13.3 in,8.0,2025-01-27 01:46:01
Laptops,"Apple MacBook Air MD223LL/A 2012 Core i5-3317 1.70GHz 4GB RAM 64GB SSD, Good",106.99,4.0,Intel Core i5,Apple MacBook Air,,11.6 in,64.0,2025-01-27 01:48:00
Laptops,MacBook Pro 13 Touch Bar Silver 2018 2.7 GHz Intel i7 16GB 2TB - Very Good Cond.,479.99,16.0,Intel Core i7 8th Gen.,MacBook Pro,,13.3 in.,,2025-01-27 01:46:29
Laptops,Apple MacBook Air 13'' Core i5 1.8GHz 8GB 128GB SSD MQD32LL/A 2017,229.99,8.0,Intel Core i5,Apple MacBook Air,,13 in,128.0,2025-01-27 01:48:42
Laptops,Apple MacBook Air Core i5 1.6GHz 8GB RAM 128GB SSD 13 MVFK2LL/A (2019) - Good,319.97,,Intel Core i5,Apple MacBook Air,,13.3 in,128.0,2025-01-27 01:47:13
Laptops,Apple MacBook Pro Core i7 2.2GHz 16GB RAM 256GB SSD 15 MR932LL/A (2018) - Good,389.97,16.0,Intel Core i7,Apple MacBook Pro,,15.4 in,256.0,2025-01-27 01:47:45
Laptops,Apple MacBook Air 13 RETINA Quad Core 3.8GHz i7 16GB RAM 1TB SSD - SEQUOIA,679.09,16.0,Intel Core i5 10th Gen.,MacBook Air (Tapered and Thunderbolt 3),,13 in,,2025-01-27 01:47:40
Laptops,Apple 13.3Macbook Air 1.6GHz Core i5 4GB RAM 256GB SSD Silver MJVG2LL/A - Good,199.49,4.0,Intel Core i5 5th Gen.,MacBook Air,,13.3 in,256.0,2025-01-27 01:46:24
Laptops,MacBook Air 13 Space Gray 2020 1.1GHz Intel Core i3 8GB 512GB - Good Condition,289.99,8.0,Intel Core i3 1st Gen.,MacBook Air,,13 in,512.0,2025-01-27 01:48:08
Laptops,Apple MacBook Air 15 2023 M2 8-Core CPU 10-Core GPU 8GB 256GB Starlight,788.99,8.0,Apple M2,MacBook Air,,15.4 in.,256.0,2025-01-27 01:47:01
Laptops,MacBook Air 15- 2024 M3 / 8GB RAM / 256GB SSD / 10-Core GPU / Starlight,929.0,8.0,Apple M3,MacBook Air,,15.3 in,256.0,2025-01-27 01:45:57
Laptops,Apple 13.3 MacBook Air 1.6GHz Core i5 8GB RAM 128GB SSD Silver MMGF2LL/A,749.99,8.0,Intel Core i5,MMGF2LL/A,,13.3,128.0,2025-01-27 01:48:08
Laptops,Apple Geek Squad Certified  MacBook Pro•13•8GB•13.3 es,614.99,8.0,Not provided,Geek Squad Certified Refurbished MacBook Pro - 13,,13.3 in,256.0,2025-01-27 01:46:37
Laptops,Apple MacBook Air MD711LL/B 2014 Silver - Azerty/French 11.6 - 4GB RAM 128GB,239.99,4.0,Intel Core i5 4th Gen.,MacBook Air,,13.3 in,128.0,2025-01-27 01:46:55
Laptops,APPLE MACBOOK PRO 16 TOUCHBAR 64GB RAM 1TB SSD 8 CORE 5.0GHz i9 - SEQUOIA,933.6,64.0,Intel Core i9,MacBook Pro (Magic Keyboard),,16 in,,2025-01-27 01:46:23
Laptops,"2018 Apple MacBook Pro 13.3 MR9U2LL/A Core i7 2.7GHz 16GB RAM 1TB SSD, Silver",499.99,16.0,Core i7 (I7-8559U),Apple MacBook Pro,,13 in,,2025-01-27 01:46:04
