title,price,ram,cpu,model,brand,gpu,screen size,storage,collection date
HP Elitebook 830 G6    i5 8365U 16GB  256GB  Win 11 Renewed,323.51,16.0,i5-8365U,Elitebook 830 G6,Dell,Unknown,13.0,256.0,1/29/2025 22:22
"Dell Inspiron 15   Ryzen 7 7730U 16GB  512GB  ""  Touch W11",324.99,16.0,i7-7600U,"Dell Inspiron 15   Ryzen 7 7730U 16GB  512GB  ""  Touch W11",,Unknown,14.0,512.0,1/29/2025 22:23
"Dell Latitude  14""  i7 11th Gen 4.8GHz 16GB  512GB   11",328.37,16.0,Intel Core i7-1185G7,Dell Latitude 5420,Dell,Intel Iris Xe Graphics,14.0,512.0,1/29/2025 22:23
HP ProBook 450 G7 ”   i7 4.9GHz 16GB  256GB   11,328.37,16.0,Intel Core i7 10th Gen.,HP ProBook 450 G7,HP,Intel HD Graphics,15.6,256.0,1/29/2025 22:23
DELL Latitude :  i7! 32GB  ~ 1TB NVME !  11 !,328.95,32.0,Intel Core i7-8650U,Dell Latitude 7300,Dell,Intel UHD Graphics 620,13.3,1000.0,1/29/2025 22:22
Dell Inspiron    Ryzen 7 7730U 16GB 512GB  i3535-A813BLK,329.0,16.0,Ryzen 7 7730U,Dell Inspiron    Ryzen 7 7730U 16GB 512GB  i3535-A813BLK,Dell,Unknown,15.6,512.0,1/29/2025 22:23
"14"" DELL Latitude :  i7QC! 32GB  ~ 1TB NVME !  11 !",329.95,16.0,Ryzen 7 7435HS,"14"" DELL Latitude :  i7QC! 32GB  ~ 1TB NVME !  11 !",,Unknown,14.0,512.0,1/29/2025 22:23
"14"" DELL Latitude :  i7QC! 32GB  ~ 1TB NVME !  11 !",329.95,32.0,Intel Core i7-8650U,Dell Latitude 5400,Dell,Intel UHD Graphics 620,14.0,1000.0,1/29/2025 22:22
Dell Inspiron 14 + 2-in-1 - Ryzen 5 7530U -   - 512GB  - i7435,329.99,8.0,AMD Ryzen 5 7530U,Dell Inspiron 14 i7435 - 2-in-1,Dell,AMD Radeon Graphics,14.0,512.0,1/29/2025 22:22
Dell Latitude 3420 14”   i7 11th Gen 16GB  512GB   11,337.68,16.0,Intel Core i7-1165G7,Dell Latitude 3420,Dell,Intel Iris Xe Graphics,14.0,512.0,1/29/2025 22:23
"HP EliteBook 850 G5 "" 64GB  4TB   Quad  i7 4.20GHz Win 11",339.95,16.0,Intel Core i7 8th Gen.,HP EliteBook 850 G5,HP,Intel UHD Graphics 620,15.6,512.0,1/29/2025 22:23
Dell  XPS 13 9370 i5  256GB W11  GER,344.19,16.0,Intel Core i5 4th Gen.,Dell  XPS 13 9370 i5  256GB W11  GER,,Unknown,14.0,512.0,1/29/2025 22:22
Asus Vivobook S 14 Flip TP3402 TP3402ZA-OS34T 90NB0WR1-M00EF0 14 -Open Box,346.49,16.0,Intel Core i7 13th Gen.,Asus Vivobook S 14 Flip TP3402 TP3402ZA-OS34T 90NB0WR1-M00EF0 14 -Open Box,,Unknown,14.0,512.0,1/29/2025 22:23
Dell Latitude 7490 14’ I7-8650U 32   1  NVMe  WIN 11  WIFI CAM,346.95,16.0,Intel Core i7 13th Gen.,Dell Latitude 7490 14’ I7-8650U 32   1  NVMe  WIN 11  WIFI CAM,,Unknown,14.0,512.0,1/29/2025 22:23
"HP ProBook ""   64GB  2TB   Quad  i5 3.6GHz DVD+RW",348.0,16.0,Intel Core i5 8th Gen.,HP ProBook,HP,Intel UHD Graphics 620,15.6,512.0,1/29/2025 22:23
Panasonic Toughbook CF-54 MK2 -  Touch - Webcam - 16GB  - 512GB  - 4G!,348.95,16.0,1.20GHz Intel CPU,Panasonic Toughbook CF-54 MK2 -  Touch - Webcam - 16GB  - 512GB  - 4G!,,Unknown,14.0,512.0,1/29/2025 22:22
"HP ProBook 440-G9 14""   i5-1235U 32GB  1TB  Win10Pro - 687M8UT#ABA",349.0,32.0,Intel i5-1235U,HP ProBook,HP,Intel Iris Xe Graphics,14.0,1000.0,1/29/2025 22:23
"HP 17.3""     i3-1215U 16GB  1TB   Home Silver",349.0,16.0,Intel i3-1215U,17-cn2283st,HP,Intel UHD Graphics,17.3,1000.0,1/29/2025 22:22
Dell G5 15 5500 i5-10th Gen   256GB  15.6in  NO POWER FOR PARTS READ,349.99,8.0,Intel Core i5 10th Gen.,Dell G5 15 5500,Dell,NVIDIA GeForce GTX,15.6,256.0,1/29/2025 22:22
Dell Latitude 9520 2 In 1     i5-11th Gen 16GB  256GB NVMe,349.99,16.0,Intel Core i5-11th Gen,Dell Latitude 9520,Dell,Intel Iris Xe Graphics,15.0,256.0,1/29/2025 22:23
"Dell Latitude 7420 14""  LT  i7-1165G7 2.8GHz 16GB 512GB W11P",358.99,16.0,Intel Core i7-1165G7,latitude 7420,Dell,Unknown,14.0,512.0,1/29/2025 22:23
""" Dell Latitude  :  i5 Quad-! 32GB ! 1TB !  11",359.95,32.0,Intel Core i5-8250U,Dell Latitude 5500,Dell,Intel UHD Graphics,15.6,1000.0,1/29/2025 22:22
"HP 15-dy4009cy "" Touch   i5-1155G7 12gb 512gb",359.99,12.0,Intel Core i5 11th Gen.,15-dy4009cy,HP,Unknown,15.6,512.0,1/29/2025 22:23
"HP 17.3""    Ryzen 5 7430U   256GB  Natural Silver",359.99,16.0,Ryzen 5 7430U,B13H9UA#ABA,HP,Unknown,17.3,512.0,1/29/2025 22:22
"Dell Latitude 5430 14""   i5-1245U 16GB  512GB  Win 11 WTY. 08/25",359.99,16.0,Intel Core i5 12th Gen.,Dell Latitude 5430,Dell,Intel Iris Xe Graphics,14.0,512.0,1/29/2025 22:22
"HP 15-dy4008cy "" Touch   i5-1155G7 12gb 512gb",359.99,12.0,Intel Core i5 11th Gen.,15-dy4008cy,HP,Unknown,15.6,512.0,1/29/2025 22:23
"New Open Box Dell Latitude 5320 "" i7-1185G7 3GHz 16GB 256GB",360.0,16.0,Intel Core i7 11th Gen.,Dell 5320,Dell,Unknown,13.3,256.0,1/29/2025 22:23
"Lenovo 82VG00QFUS ""   -- Ryzen 5 7520U/ 16GB/ 256GB",368.0,16.0,Ryzen 5 7520U,82VG00QFUS,Lenovo,Unknown,15.6,256.0,1/29/2025 22:23
