Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Response Time,Model,Refresh Rate,Price (USD),Brand
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...",9999.0,39.62,1920x1080,16:09,25.0,(Zeb-Pixigo A16 (Zeb-KPM 2)),60.0,119.99,Unknown
"ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel 80 cm, Wall Mountable, Slim Gaming Monitor (ZEB-A...",15999.0,81.28,1920x1080,16:09,12.0,ZEB-AC32FHD LED,165.0,191.99,Unknown
SAMSUNG 60.96 cm (24 inch) Full HD LED Backlit VA Panel Gaming Monitor (LS24AG300NWXXL),11899.0,60.96,,,1.0,LS24AG300NWXXL,144.0,142.79,Unknown
"SAMSUNG Odyssey G5 68.58 cm (27 inch) UWQHD VA Panel with HDR10, Height Adjustable Stand, Flat Gaming ...",19500.0,68.58,2560x1440,16:09,1.0,LS27CG510EWXXL,165.0,234.0,Unknown
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),2469.0,43.18,1280x1024,5:04,5.0,MON-0065,60.0,29.63,Unknown
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...",9799.0,60.45,1920x1080,16:09,4.0,S2421HNM / S2421HN,75.0,117.59,Unknown
"SAMSUNG 60.96 cm (24 inch) Full HD LED Backlit IPS Panel with 3-Sided Borderless Display, Game & Free ...",7499.0,60.96,1920x1080,16:09,5.0,LS24C310EAWXXL,75.0,89.99,Unknown
SAMSUNG 55.88 cm (22 inch) Full HD IPS Panel Monitor (LS22C310EAWXXL),7599.0,55.88,1920x1080,16:09,5.0,LS22C310EAWXXL,75.0,91.19,Unknown
"Acer 54.61 cm (21.5 inch) Full HD IPS Panel with sRGB 99%, ENERGY STAR Certified, VESA Supportive, VGA...",5998.0,54.61,1920x1080,,1.0,KA222Q,100.0,71.98,Unknown
SAMSUNG 48.26 cm (19 inch) HD VA Panel Monitor (LS19A330NHWXXL),6500.0,48.26,,,6.0,LS19A330NHWXXL,60.0,78.0,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),3154.0,50.8,1600x900,16:09,5.0,MON-0054,60.0,37.85,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),2699.0,50.8,1600x900,16:09,3.0,MON-0074,60.0,32.39,Unknown
"LG 80.01 cm (31.5 inch) Full HD IPS Panel with webOS, Apple AirPlay 2, HomeKit compatibility, 5Wx2 spe...",16999.0,80.01,,,5.0,32SR50F-WA.ATREMSN,60.0,203.99,Unknown
"Acer 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with 6 axis Color Adjustment, 2X2W Inbuilt Spe...",6549.0,60.45,1920x1080,16:09,1.0,KA242Y E0,100.0,78.59,Unknown
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),11999.0,81.28,1920x1080,16:09,8.0,ZEB -AC32FHD LED,75.0,143.99,Unknown
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...",7599.0,60.45,,16:09,5.0,24MR400-BA.CTRRMV,100.0,91.19,Unknown
LG 46.99 cm (18.5 inch) HD TN Panel Monitor (19M38A),6250.0,46.99,,,5.0,19M38A,60.0,75.0,Unknown
SAMSUNG A334 55.88 cm (22 inch) Full HD LED Backlit VA Panel Monitor (S22A330 ( Full HD LED Backlit VA...,7131.0,55.88,920x1,16:09,6.5,"S22A330 ( Full HD LED Backlit VA Panel, 60 Hz Refresh Rate, Response Time 6.5 ms , AMD Free Sync",60.0,85.57,Unknown
"ViewSonic 68.58 cm (27 Inch) Full HD LED Backlit IPS Panel with 2X2W Inbuilt Speakers, HDMI, VGA, Wall...",8999.0,68.58,1920x1080,16:09,4.0,VA2732-MH,100.0,107.99,Unknown
Enter 48.26 cm (19 inch) HD TN Panel Gaming Monitor (E-MO-A01),2999.0,48.26,,,5.0,E-MO-A01,75.0,35.99,Unknown
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...",9999.0,39.62,1920x1080,16:09,25.0,(Zeb-Pixigo A16 (Zeb-KPM 2)),60.0,119.99,Unknown
"ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel 80 cm, Wall Mountable, Slim Gaming Monitor (ZEB-A...",15999.0,81.28,1920x1080,16:09,12.0,ZEB-AC32FHD LED,165.0,191.99,Unknown
PHILIPS 54.61 cm (21.5 Inch) Full HD VA Panel Monitor (222V8LA/94 22 inch VA Panel LCD Monitor with Fu...,5990.0,54.61,1920x1080,16:09,4.0,222V8LA/94 22 inch VA Panel LCD Monitor with Full HD,75.0,71.88,Unknown
"Acer 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with Blue Light Shield, Low Dimming, Comfy Vie...",7958.0,60.45,1920x1080,,1.0,SA242Y,100.0,95.5,Unknown
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,6599.0,60.45,,,4.0,D24-20/D24-40,75.0,79.19,Unknown
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),2469.0,43.18,1280x1024,5:04,5.0,MON-0065,60.0,29.63,Unknown
"BenQ GW2790T 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with 99% sRGB, Height Adjustable, Eye-ca...",12990.0,68.58,1920x1080,16:09,5.0,GW2790T,100.0,155.88,Unknown
"LAPCARE 48.26 cm (19 inch) HD LED Backlit TN Panel with VGA & HDMI Port, Light Weight, Power Saver, Wa...",3699.0,48.26,1440x900,16:10,4.0,LM195WDH,60.0,44.39,Unknown
