title,price,promo,coupon,collection_date
Title not available,$229.99,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$470.88,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$999.99,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$649.99,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$599.99,No promotion,$100.00 off coupon applied,2025-01-12 17:41:49
Title not available,$299.00,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$549.00,No promotion,$90.00 off coupon applied,2025-01-12 17:41:49
Title not available,$299.00,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$119.99,No promotion,No coupon,2025-01-12 17:41:49
Title not available,Price not available,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$234.04,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$379.99,No promotion,10% off coupon applied,2025-01-12 17:41:49
Title not available,$116.62,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$658.95,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$291.89,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$329.00,No promotion,No coupon,2025-01-12 17:41:49
Title not available,$209.99,No promotion,$30.00 off coupon applied,2025-01-12 17:41:49
"HDMI KVM Switch 2 Monitors 2 Computers 4K@60Hz, USB3.0 KVM Switch Dual Monitor with 3 USB 3.0 Ports Sharing Keyboard and Mouse, Printer/Scanner, Desktop Controller",$69.99,"Thu, Jan 23",20% off coupon applied,2025-01-12 17:41:54
"Bluetooth Headset, Wireless Headset with Microphone for PC, V5.2 Computer Headset with Noise Cancelling Mic, USB Dongle, Charging Base & Mute Button for Work, Cell Phones, Computer (Black)",$59.99,"Wed, Jan 22",$4.00 off coupon applied,2025-01-12 17:41:54
"GMKtec Mini PC Intel i5-12450H(Turbo 4.4 GHz) 32GB DDR4 1TB M.2 NVMe SSD Windows 11 Pro Mini Computers, USB 3.2, Type-C/WiFi 6, BT5.2, RJ45 2.5G/ 4K Triple Display Desktop PC",$449.99,"Wed, Jan 22",$80.00 off coupon applied,2025-01-12 17:41:54
"GMKtec Mini PC with Preinstalled Windows 11 Pro, G5 Micro Desktop Computer, 12th Gen Intel Alder Lake N97 (up to 3.60GHz) 12GB DDR5 256GB Hard Drive for Business, School, Office Sky Blue",$143.95,No promotion,5% off coupon applied,2025-01-12 17:41:54
"Microsoft Surface Pro 2-in-1 Laptop/Tablet (2024), Windows 11 Copilot+ PC, 13"" Touchscreen Display, Snapdragon X Plus (10 Core), 16GB RAM, 512GB Storage, Black",$929.90,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"HP 15.6 FHD Flagship Business Laptop Computer, 32GB RAM, 1TB PCIe SSD, 12th Gen Intel 10 Cores i5-1235U (Beat i7-1195G7), Iris Xe Graphics, Bluetooth, HDMI, WiFi 5, Win 11 Pro, w/GM Accessories",$518.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
