Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
NVIDIA GeForce GT630 2GB Video Graphics Card HP PClex16 702084-001 684455-002,$20.21 ,HP,2 GB,GDDR3,NVIDIA GeForce GT 630,"DisplayPort, DVI",2/1/2025 17:56
GTX10 GTX1650 4GB 4K 2K Half Height Graphics Card Single Slot Graphics Card GPU,$189.45 ,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
XFX AMD Radeon RX 590 8GB 2304sp GDDR5 Graphics Card,$92.00 ,XFX,8 GB,DDR5,AMD Radeon RX 590,"DisplayPort, DVI, HDMI",2/1/2025 17:56
MSI Radeon RX 580 8GB GDDR5 Graphics Card (RX580ARMOR8GOC),$50.00 ,MSI,8 GB,GDDR5,AMD Radeon RX 580,"DisplayPort, DVI, DVI-D, HDMI",2/1/2025 17:56
MSI GeForce GTX 1050 2G OC - Graphics Card = GPU - Tested,$54.99 ,MSI,2 GB,GDDR5,NVIDIA GeForce GTX 1050,"HDMI, DisplayPort, DVI-D",2/1/2025 17:56
Dell NVIDIA Tesla M10 32GB PCI-e 3.0 x16 GDDR5 Accelerator Gaming Video Card,US $94.00,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
EVGA NVIDIA GeForce RTX 2080 Ti 11GB GDDR5 Graphics Card - 11G-P4-2281-KR,US $300.00,EVGA,11 GB,GDDR6,NVIDIA GeForce RTX 2080 Ti,HDMI,2/1/2025 17:56
NVIDIA RTX 2070 Super 8GB GDDR6 Founders Edition Graphics Card & power supply,$284.00 ,NVIDIA,8 GB,GDDR6,NVIDIA GeForce RTX 2070,N/A,2/1/2025 17:56
OCuLink External Graphics Card Expansion Dock New OCuP4v2 Compatibility Chip,US $113.64,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
Zotac Nvidia PG150 RTX MINI RTX 2070 8GB GPU 256bit GDDR6 Video Graphics Card,$114.00 ,ZOTAC,N/A,GDDR6,NVIDIA GeForce RTX 2070,N/A,2/1/2025 17:56
Low Profile Full High Bracket For MSI GTX1050 GTX1050Ti LP Graphics Video Cards,AU $6.38,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
DELL NVIDIA GeForce GT 705 2GB DVI VGA HDMI Graphic Video Card,$18.03 ,Dell,2 GB,DDR3,NVIDIA GeForce GT 705,"DVI, HDMI, VGA",2/1/2025 17:56
