title,price,rating,reviews,image_url,product_url,collection_date
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,"45,490",4.2,297 Ratings & 21 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/a/a/-original-imah8frtmgaukksa.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmd44c92b46b181?pid=COMHYG8ZDVPTUYYB&lid=LSTCOMHYG8ZDVPTUYYBQHTHWS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMHYG8ZDVPTUYYB.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook,"9,990",3.3,767 Ratings & 62 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/a/e/11mk-g9-chromebook-hp-original-imah3behyxsb4auh.jpeg?q=70,https://www.flipkart.com/hp-touch-chromebook-mediatek-mt8183-4-gb-32-gb-emmc-storage-chrome-os-11mk-g9/p/itmbcfcbc0ab424f?pid=COMGZFFXQ9GEXPVR&lid=LSTCOMGZFFXQ9GEXPVR8ZDRE7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMGZFFXQ9GEXPVR.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"36,990",4.2,"7,970 Ratings & 584 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/d/h/-original-imah4qscwmurxkeh.jpeg?q=70,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itmd57b41ed8750a?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en__nujO8hv5qZ5m7ASX_h_huNhvocTBaIAqRWxhuY6DS6a_utUI1u4zrarqHKeBSo41PxrAI9d0AXcgfjW_JxBJMsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"34,550",4.3,"1,627 Ratings & 90 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/h/9/-original-imah8frtnf5cvhfa.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itmdfa8fc0e85938?pid=COMGP26H8PHCAMZE&lid=LSTCOMGP26H8PHCAMZEGEC9S3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en__nujO8hv5qZ5m7ASX_h_huNhvocTBaIAqRWxhuY6DS4wTWDIPZrXfTW5hcYxNUnKyIs_yRakVeZgvHD_0xrHyMDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin...,"42,990",4.3,"10,357 Ratings & 805 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/j/l/x1502za-ej993ws-thin-and-light-laptop-asus-original-imah47vrryedmvtp.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej953ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZKHQ8BXZFBUT&lid=LSTCOMGZKHQ8BXZFBUTEXWMPL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMGZKHQ8BXZFBUT.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
ASUS Vivobook S 15 OLED Intel EVO H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 1...,"75,990",4.5,113 Ratings & 12 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/e/r/-original-imagpxgrfnuappjr.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s-15-oled-intel-evo-h-series-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-s5504va-ma541ws-thin-light-laptop/p/itm8486d594ff56b?pid=COMHYWSWHTGX8BWG&lid=LSTCOMHYWSWHTGX8BWGUIGHE6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMHYWSWHTGX8BWG.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
Data not available,Price not available,Data not available,Data not available,Image not available,URL not available,2025-01-28 21:51:52
Data not available,Price not available,Data not available,Data not available,Image not available,URL not available,2025-01-28 21:51:52
Data not available,Price not available,4.2,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/computer/c/w/5/-original-imagpecqk6gdp9dh.jpeg?q=90,URL not available,2025-01-28 21:51:52
Data not available,Price not available,Data not available,Data not available,Image not available,URL not available,2025-01-28 21:51:52
